,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
9589,22Nd Century Technologies,4.9,IT Services & Consulting,Chandigarh,3,"Company Culture, Work Life Balance, Work Satisfaction",,110,42,--,--,1
9590,Masters Management Consultants,3.9,Real Estate,Mumbai,17,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,110,365,3,--,7
9591,TELUS Health,4.1,Recruitment,Gurgaon / Gurugram,4,"Work Life Balance, Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal",110,625,18,4,14
9592,NTN NEI Manufacturing,4.0,Chennai +7 other locations,,0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,110,505,8,--,8
9593,Velan Info Services,3.5,IT Services & Consulting,Coimbatore,2,"Promotions / Appraisal, Salary & Benefits, Company Culture",,110,415,9,10,12
9594,Diversey India Hygiene,4.0,Mumbai +24 other locations,,0,"Job Security, Company Culture, Work Life Balance",,110,595,8,--,21
9595,Vasant Chemicals,3.9,Chemicals,Hyderabad / Secunderabad,4,"Work Life Balance, Job Security, Company Culture",,110,392,3,--,11
9596,Alpha Net Consulting,4.4,IT Services & Consulting,Mohali,3,"Salary & Benefits, Company Culture, Work Life Balance",,110,236,5,8,4
9597,Navigant Technologies,2.2,BPO,New Delhi,5,"Job Security, Promotions / Appraisal, Salary & Benefits",,110,431,11,--,8
9598,Gala Precision Engineering Limited,4.1,Engineering & Construction,Mumbai,8,"Company Culture, Job Security, Work Life Balance",,110,483,7,6,17
9599,RETAIL HUB SOLUTIONS,4.3,Retail,Mumbai,36,"Company Culture, Work Life Balance, Work Satisfaction",,110,230,6,--,8
9600,South India Krishna Oil & Fat,4.2,Oil & Gas,Nellore,6,"Job Security, Company Culture, Work Life Balance",,110,433,6,3,13
9601,XL Laboratories,3.7,Pharma,Bhiwadi,9,"Skill Development / Learning, Salary & Benefits","Company Culture, Job Security",110,470,14,--,4
9602,U K Paints,3.0,Building Material,New Delhi,11,"Promotions / Appraisal, Salary & Benefits, Company Culture",,110,348,13,--,10
9603,Shri Venkateshwara University,3.6,Education & Training,New Delhi,19,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,110,440,7,84,7
9604,Shri Ramswaroop Memorial University,3.8,Education & Training,Lucknow,2,"Company Culture, Work Life Balance, Work Satisfaction",,110,248,6,3,2
9605,Intercraft Trading,4.4,Beauty & Personal Care,Mumbai,21,"Company Culture, Skill Development / Learning, Job Security",,110,271,3,--,13
9606,Swami Vivekanand Subharti University,3.7,Education & Training,Meerut,6,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",110,284,2,21,11
9607,PressureJet Systems,3.5,Industrial Machinery,Ahmedabad,6,"Company Culture, Promotions / Appraisal, Work Life Balance",,110,268,11,3,28
9608,BBD University,3.5,Financial Services,Lucknow,3,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,110,278,11,8,2
9609,Amrapali Group,3.2,Real Estate,Noida,14,"Job Security, Salary & Benefits, Promotions / Appraisal",,109,275,1,--,15
9610,Manya Education,3.3,Education & Training,New Delhi,13,"Job Security, Promotions / Appraisal, Company Culture",,109,386,6,--,9
9611,Lomos Archilabs,3.8,EdTech,Bangalore / Bengaluru,6,Skill Development / Learning,Job Security,109,96,6,--,48
9612,Sapphire International School,3.5,Education & Training,Noida,6,"Company Culture, Work Life Balance, Work Satisfaction",,109,239,7,--,6
9613,Flowserve Sanmar,3.4,Chemicals,Chennai,15,Job Security,"Company Culture, Promotions / Appraisal, Work Life Balance",109,476,8,--,7
9614,Clarks Inn Group of Hotels,3.5,Hospitality,New Delhi,36,"Work Satisfaction, Salary & Benefits, Company Culture",,109,335,5,--,20
9615,Seven Seas Hotel,3.0,Hospitality,New Delhi,4,"Salary & Benefits, Promotions / Appraisal, Job Security",,109,364,5,--,6
9616,Avacend Solutions,3.8,Chennai +22 other locations,,0,Work Life Balance,"Promotions / Appraisal, Job Security",109,587,6,--,15
9617,Aamby Valley City,3.7,Real Estate,Pune,7,Company Culture,"Promotions / Appraisal, Salary & Benefits",109,318,3,9,22
9618,Sietz Technologies,4.1,Auto Components,Faridabad,5,"Work Life Balance, Job Security, Skill Development / Learning",,109,475,12,--,10
9619,Techtree It Systems,2.1,IT Services & Consulting,Bangalore / Bengaluru,6,"Job Security, Promotions / Appraisal, Salary & Benefits",,109,611,5,7,6
9620,Amrapali Group,3.2,Real Estate,Noida,14,"Job Security, Salary & Benefits, Promotions / Appraisal",,109,275,1,--,15
9621,Flourish Pure Foods,1.9,Food Processing,Ahmedabad,10,"Company Culture, Work Life Balance, Job Security",,109,458,5,--,7
9622,Sapphire International School,3.5,Education & Training,Noida,6,"Company Culture, Work Life Balance, Work Satisfaction",,109,239,7,--,6
9623,Lark Laboratories (I),3.0,Pharma,Bhiwadi,13,"Company Culture, Promotions / Appraisal, Work Satisfaction",,109,317,8,--,7
9624,Lindstrom Services,4.0,Fashion & Textile,Pune,15,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,109,436,10,--,11
9625,Clarks Inn Group of Hotels,3.5,Hospitality,New Delhi,36,"Work Satisfaction, Salary & Benefits, Company Culture",,109,335,5,--,20
9626,Avacend Solutions,3.8,Chennai +22 other locations,,0,Work Life Balance,"Promotions / Appraisal, Job Security",109,587,6,--,15
9627,Seven Seas Hotel,3.0,Hospitality,New Delhi,4,"Salary & Benefits, Promotions / Appraisal, Job Security",,109,364,5,--,6
9628,Blue Dart Aviation,3.7,Aviation,Chennai,18,"Job Security, Skill Development / Learning",Promotions / Appraisal,109,289,4,--,20
9629,Electrica Engineers,4.1,Auto Components,Pune,8,"Company Culture, Work Life Balance, Work Satisfaction",,109,363,5,1,4
9630,NETIMPACT SOLUTIONS PVT LTD,3.5,Analytics & KPO,Noida,7,"Promotions / Appraisal, Company Culture, Work Satisfaction",,109,388,9,8,2
9631,Unimark Remedies,3.2,Pharma,Vapi,11,"Company Culture, Promotions / Appraisal, Salary & Benefits",,109,328,4,--,13
9632,Tatsuno India,3.2,Oil & Gas,Navi Mumbai,17,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,109,428,6,3,9
9633,Vaibhav Plasto Printing & Packaging,4.1,Nagpur +1 other locations,,0,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",,110,402,13,3,4
9634,River Mobility,3.9,Automobile,Bangalore / Bengaluru,10,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,110,417,6,3,1
9635,DY Patil University,3.5,Education & Training,Pune,11,"Promotions / Appraisal, Job Security, Salary & Benefits",,110,669,7,--,8
9636,Sietz Technologies,4.1,Auto Components,Faridabad,5,"Work Life Balance, Job Security, Skill Development / Learning",,109,475,12,--,10
9637,Aamby Valley City,3.7,Real Estate,Pune,7,Company Culture,"Promotions / Appraisal, Salary & Benefits",109,318,3,9,22
9638,Bioplus Life Sciences,3.7,Pharma,Bangalore / Bengaluru,5,"Company Culture, Work Satisfaction, Promotions / Appraisal",,110,621,8,23,1
9639,Vahdam Teas,3.9,Beverage,Noida,6,Company Culture,,109,490,6,1,11
9640,NextGen Invent,3.5,IT Services & Consulting,Noida,5,"Job Security, Company Culture, Work Life Balance",,109,337,5,21,3
9641,TopSource,3.8,Other,Pune,2,"Work Life Balance, Company Culture",Promotions / Appraisal,110,296,10,1,3
9642,Phoenix Mecano,3.9,Industrial Machinery,Pune,8,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning",109,653,3,--,7
9643,Instant Procurement Services,3.4,Pune +18 other locations,,0,"Promotions / Appraisal, Company Culture, Work Life Balance",,109,421,12,2,--
9644,Mohan Impex,4.1,Kolkata +11 other locations,,0,"Company Culture, Work Satisfaction, Work Life Balance",,109,227,13,--,6
9645,Gimatex Industries,3.3,Fashion & Textile,Nagpur,10,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,109,512,5,1,4
9646,Rtech Group,3.5,Real Estate,Jaipur,11,"Job Security, Salary & Benefits, Company Culture",,109,442,3,3,14
9647,Sunrise Biztech Systems,3.5,IT Services & Consulting,Bangalore / Bengaluru,3,"Job Security, Promotions / Appraisal, Work Satisfaction",,109,500,12,6,10
9648,Nova Techset,3.4,Printing & Publishing,Chennai,4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,109,572,8,6,4
9649,Modern Construction Company,3.1,Engineering & Construction,New Delhi,23,"Job Security, Work Satisfaction, Promotions / Appraisal",,109,411,2,--,9
9650,Meritshot,4.6,Education & Training,Noida,2,"Company Culture, Work Life Balance, Work Satisfaction",,110,48,17,1,10
9651,New Horizon College of Engineering,3.6,Education & Training,Bangalore / Bengaluru,2,"Company Culture, Promotions / Appraisal, Work Satisfaction",,109,336,9,3,12
9652,City Hospital,4.1,Healthcare,Nagpur,38,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,109,452,3,3,8
9653,Reliance Composites,3.6,Vadodara +26 other locations,,0,"Promotions / Appraisal, Salary & Benefits, Company Culture",,109,285,5,--,1
9654,Central Board of Secondary Education,4.3,Government,New Delhi,36,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,110,521,5,--,7
9655,M.B.A Consulting India,3.7,Financial Services,Noida,10,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",,109,385,6,1,8
9656,VRP Telematics,3.2,Retail,New Delhi,18,"Promotions / Appraisal, Job Security, Company Culture",,109,352,7,4,5
9657,Avantel,3.9,Hardware & Networking,Visakhapatnam,5,"Salary & Benefits, Skill Development / Learning","Work Life Balance, Job Security",109,557,14,11,8
9658,Sri Sri Ravishankar Vidya Mandir,4.0,EdTech,Bangalore / Bengaluru,21,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,109,342,8,--,5
9659,MunchhOnn,3.4,Hajipur +13 other locations,,0,"Job Security, Promotions / Appraisal, Work Life Balance",,109,209,12,--,4
9660,DY Patil University,3.5,Education & Training,Pune,11,"Promotions / Appraisal, Job Security, Salary & Benefits",,110,669,7,--,8
9661,G Plast,3.5,Industrial Machinery,Coimbatore,2,"Promotions / Appraisal, Company Culture, Salary & Benefits",,109,516,5,50,5
9662,Dexian India Technologies,3.7,IT Services & Consulting,Chennai,7,"Job Security, Promotions / Appraisal",,109,490,19,35,--
9663,Nirmaan Organization,3.6,Financial Services,Hyderabad / Secunderabad,17,"Job Security, Promotions / Appraisal, Company Culture",,109,347,8,--,6
9664,Stonemen Crafts,3.9,Furniture & Furnishing,Agra,7,"Skill Development / Learning, Salary & Benefits",,109,458,6,--,6
9665,Engineering Projects,3.7,Engineering & Construction,New Delhi,27,Work Life Balance,Promotions / Appraisal,109,543,7,--,8
9666,TopSource,3.8,Other,Pune,2,"Work Life Balance, Company Culture",Promotions / Appraisal,110,296,10,1,3
9667,Mohan Impex,4.1,Kolkata +11 other locations,,0,"Company Culture, Work Satisfaction, Work Life Balance",,109,227,13,--,6
9668,Gimatex Industries,3.3,Fashion & Textile,Nagpur,10,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,109,512,5,1,4
9669,Instant Procurement Services,3.4,Pune +18 other locations,,0,"Promotions / Appraisal, Company Culture, Work Life Balance",,109,421,12,2,--
9670,NextGen Invent,3.5,IT Services & Consulting,Noida,5,"Job Security, Company Culture, Work Life Balance",,109,337,5,21,3
9671,Vahdam Teas,3.9,Beverage,Noida,6,Company Culture,,109,490,6,1,11
9672,Phoenix Mecano,3.9,Industrial Machinery,Pune,8,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning",109,653,3,--,7
9673,Jio Haptik,3.5,Emerging Technologies,Mumbai,8,"Job Security, Promotions / Appraisal",,110,717,15,3,8
9674,BMD,3.7,Engineering & Construction,Banswara,12,Skill Development / Learning,Promotions / Appraisal,109,436,3,--,11
9675,Jocata Financial Advisory and Technology,3.3,Financial Services,Hyderabad / Secunderabad,4,"Work Life Balance, Promotions / Appraisal, Company Culture",,109,935,14,2,9
9676,Uolo EdTech,2.9,EdTech,Gurgaon / Gurugram,13,"Job Security, Promotions / Appraisal, Company Culture",,109,376,8,--,1
9677,Sridevi Tool Engineers,3.6,Engineering & Construction,Mumbai,5,Skill Development / Learning,"Company Culture, Promotions / Appraisal, Work Life Balance",109,447,2,14,11
9678,Princeware,3.2,Petrochemicals,Mumbai,21,"Salary & Benefits, Company Culture, Job Security",,109,492,3,--,6
9679,Blackboard Education and Reseach Foundation,3.5,EdTech,Noida,4,"Promotions / Appraisal, Job Security, Skill Development / Learning",,109,526,12,5,6
9680,NPL BlueSky Automotive,3.8,Mumbai +32 other locations,,0,Job Security,"Promotions / Appraisal, Skill Development / Learning",109,437,15,--,4
9681,Small Industries Development Bank of India,3.8,NBFC,Mumbai,29,Work Life Balance,"Promotions / Appraisal, Company Culture, Skill Development / Learning",109,575,8,--,5
9682,Synoptics Technologies,3.4,IT Services & Consulting,Mumbai,19,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,109,333,6,10,4
9683,Anyone Home,4.1,Internet,Pune,22,"Salary & Benefits, Work Life Balance, Company Culture",,109,591,33,--,12
9684,Velocity Software Solutions,4.1,IT Services & Consulting,Noida,7,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",,109,339,17,--,11
9685,Bioplus Life Sciences,3.7,Pharma,Bangalore / Bengaluru,5,"Company Culture, Work Satisfaction, Promotions / Appraisal",,110,621,8,23,1
9686,River Mobility,3.9,Automobile,Bangalore / Bengaluru,10,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,110,417,6,3,1
9687,Metec Design & Construction Engineers,3.8,Engineering & Construction,Chennai,7,"Skill Development / Learning, Job Security","Work Life Balance, Salary & Benefits",109,407,3,--,16
9688,Kuber Enterprises,4.3,Engineering & Construction,New Delhi,16,"Skill Development / Learning, Salary & Benefits, Company Culture",,109,317,9,6,30
9689,VITAE International Accounting Services,3.7,Accounting & Auditing,Coimbatore,2,"Work Life Balance, Job Security","Promotions / Appraisal, Company Culture",109,530,8,2,11
9690,SFS Group,3.7,Pune +7 other locations,,0,"Promotions / Appraisal, Salary & Benefits, Company Culture",,109,446,5,2,--
9691,Avians Innovations Technology,3.7,Building Material,Pune,11,Job Security,Promotions / Appraisal,109,530,10,7,7
9692,Absolutelabs,4.3,Hyderabad / Secunderabad +3 other locations,,0,"Work Life Balance, Skill Development / Learning, Company Culture",,109,115,8,8,3
9693,SNS Group,3.6,Engineering & Construction,New Delhi,14,"Promotions / Appraisal, Salary & Benefits, Company Culture",,109,371,11,--,26
9694,Planedge Consultants,3.4,Management Consulting,Pune,5,"Work Satisfaction, Promotions / Appraisal, Company Culture",,109,499,8,7,4
9695,Mojj Engineering Systems,3.7,Financial Services,Pune,5,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",109,461,6,--,6
9696,HashCash Consultants,3.2,Software Product,Kolkata,5,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",,109,199,6,13,22
9697,Xitadel CAE Technologies,3.7,Analytics & KPO,Bangalore / Bengaluru,4,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",109,408,12,4,19
9698,Infotree Global Solutions,3.7,Recruitment,Jammu,9,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,109,370,8,--,6
9699,Nation with NaMo,2.7,New Delhi +16 other locations,,0,"Job Security, Work Life Balance, Promotions / Appraisal",,109,607,29,48,2
9700,Sankei Giken,4.0,Auto Components,Bawal,5,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",109,432,10,--,9
9701,Bal Bharati Public School,4.0,Education & Training,New Delhi,24,"Salary & Benefits, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,109,343,1,10,3
9702,Infotree Global Solutions,3.7,Recruitment,Jammu,9,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,109,370,8,--,6
9703,BIC Contracting,4.7,Engineering & Construction,Dubai,8,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal,108,166,2,--,16
9704,Mindseed,4.2,Education & Training,Mumbai,11,"Company Culture, Job Security, Skill Development / Learning",,108,230,8,8,20
9705,SPEC INDIA,4.1,IT Services & Consulting,Ahmedabad,4,"Work Life Balance, Promotions / Appraisal, Salary & Benefits",,108,415,5,1,21
9706,Coslight India Telecom,4.2,Telecom,Gurgaon / Gurugram,26,"Work Life Balance, Company Culture, Work Satisfaction",,108,410,5,--,13
9707,Eskag Sanjeevani,3.4,Healthcare,Kolkata,23,"Promotions / Appraisal, Salary & Benefits, Company Culture",,108,313,4,--,9
9708,Encore Healthcare,3.3,Pharma,Aurangabad,11,"Promotions / Appraisal, Salary & Benefits, Company Culture",,108,354,1,1,3
9709,Sarens Heavy Lift India,3.9,Industrial Machinery,New Delhi,12,"Work Life Balance, Job Security",Promotions / Appraisal,108,464,2,--,7
9710,Rave Technologies,3.8,IT Services & Consulting,Mumbai,4,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",108,716,4,--,19
9711,AHZ,4.6,Education & Training,Kochi,8,"Skill Development / Learning, Company Culture, Work Life Balance",,108,78,35,--,1
9712,Girnarsoft Automobiles,3.8,Gurgaon / Gurugram +25 other locations,,0,"Salary & Benefits, Company Culture","Job Security, Promotions / Appraisal",108,332,7,--,16
9713,Fedders Lloyd,3.5,Engineering & Construction,New Delhi,25,"Job Security, Company Culture, Work Satisfaction",,108,314,--,--,4
9714,Falcon Force,4.0,IT Services & Consulting,Gurgaon / Gurugram,5,"Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",108,274,7,--,13
9715,Plr Projects,4.2,Engineering & Construction,Hyderabad / Secunderabad,22,"Work Life Balance, Job Security, Skill Development / Learning",,108,390,3,--,12
9716,RSP Design Consultants,3.8,Architecture & Interior Design,Bangalore / Bengaluru,14,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance",108,581,6,--,8
9717,RATNATRIS PHARMACEUTICALS PRIVATE LIMITED,3.9,Pharma,Ahmedabad,5,"Work Life Balance, Job Security, Skill Development / Learning",,109,357,9,3,11
9718,Sureworks Infotech Pvt. Ltd.,4.3,IT Services & Consulting,Bangalore / Bengaluru,17,"Company Culture, Work Life Balance, Work Satisfaction",,108,464,22,1,8
9719,Information Dynamics,3.7,IT Services & Consulting,Chennai,6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture",108,1.1k,7,--,7
9720,Unicom Infotel,4.1,IT Services & Consulting,Mumbai,25,"Job Security, Work Life Balance, Company Culture",,108,440,7,2,8
9721,Woodkraft (India) Private Limited,2.8,Real Estate,Bangalore / Bengaluru,8,"Promotions / Appraisal, Company Culture, Job Security",,109,473,5,1,7
9722,Via.com,4.0,Media & Entertainment,Bangalore / Bengaluru,11,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,108,488,7,--,4
9723,Jagannath Gupta Institute of Medical Sciences & Hospital,3.5,Healthcare,Kolkata,4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,108,411,4,2,8
9724,Galaxy Toyota,3.6,Automobile,New Delhi,2,"Promotions / Appraisal, Job Security, Salary & Benefits",,108,420,4,--,6
